,zero_rate,variance
BRD2,0.04699738903394256,86502.64576982491
AURKA,0.32114882506527415,86349.36616406718
UQCRQ,0.044386422976501305,86317.47114950854
ID1,0.195822454308094,86266.6751739505
ADIPOR1,0.04960835509138381,85793.22670293767
TPX2,0.4412532637075718,85712.21598567405
ELP2,0.07571801566579635,85513.10233346549
H2AJ,0.06005221932114883,85241.94589422176
UBA1,0.06266318537859007,85153.7988325838
CALM1,0.0391644908616188,85151.36951321214
APPBP2,0.04960835509138381,85034.4414719834
CSRP1,0.06788511749347259,84889.5296160103
MAGED1,0.10704960835509138,84630.01366997944
PERP,0.06266318537859007,84561.48141566319
NCL,0.057441253263707574,84543.3786447582
GANAB,0.06266318537859007,84462.32350006148
SEC61A1,0.057441253263707574,83953.73511681003
SSR4,0.044386422976501305,83635.56465216733
CD9,0.09660574412532637,83598.9427637965
SNRPB,0.05483028720626632,83332.97594083638
MKRN1,0.04960835509138381,83305.91068035498
XRCC6,0.06266318537859007,83249.52376525904
GLG1,0.04960835509138381,83000.19431875656
GPX4,0.06266318537859007,82967.88309433653
TUBA1A,0.11488250652741515,82747.02222738638
CA12,0.17493472584856398,82679.50003417484
H1-2,0.1122715404699739,82039.35349199623
RAE1,0.05221932114882506,81966.51083345867
P4HA2,0.13577023498694518,81898.25372848692
FLOT1,0.07049608355091384,81818.28228507382
ANAPC5,0.06266318537859007,81695.55371618397
LOXL2,0.5195822454308094,81612.92894344764
CDK5RAP3,0.06527415143603134,81445.81578335816
DNAJA1,0.09399477806788512,81397.44196410266
HSP90B1,0.05483028720626632,81084.20856287502
SKP1,0.04699738903394256,81028.39696253055
RHOBTB3,0.11488250652741515,80981.7696061679
CALR,0.04699738903394256,80660.01623993546
SAE1,0.05483028720626632,80570.48324744032
GNB1,0.057441253263707574,80520.43743933945
STMN1,0.1618798955613577,80462.1561248343
USP11,0.10182767624020887,80437.42214263255
CCDC47,0.06527415143603134,80294.62333738877
BUB3,0.06005221932114883,79902.02526212185
SNX22,0.04177545691906005,79901.06531516144
AP1G2,0.06788511749347259,79764.87394912037
GPAA1,0.09399477806788512,79647.84581630284
ATP6V0E1,0.04699738903394256,79592.00318510523
MTHFD1,0.11488250652741515,79373.00425136357
RDH11,0.09921671018276762,79291.35759299
SLC38A1,0.05483028720626632,79258.13425286733
LAMB2,0.18798955613577023,78807.85154402415
PRDX5,0.04960835509138381,78725.52078520363
COX7A2,0.04699738903394256,78502.48335680012
ENO3,0.03655352480417755,78453.55627247001
SRP14,0.05483028720626632,78206.47679521002
RPL31,0.044386422976501305,78133.0382896122
ACADVL,0.044386422976501305,77856.32057468596
BAG1,0.04699738903394256,77814.90724919004
PXN,0.057441253263707574,77534.39510341334
SF3B1,0.04960835509138381,77050.89485051874
LDLR,0.22193211488250653,76644.5630527797
GUK1,0.04699738903394256,76575.45254466672
OSR2,0.0835509138381201,76203.73295695319
C7orf50,0.06005221932114883,75437.28439025056
ISOC1,0.08093994778067885,74940.11619482447
MTCH1,0.04960835509138381,74859.1673205474
RPL18A,0.04177545691906005,74813.92618211142
PRELID1,0.05221932114882506,74764.94825912808
SNX32,0.04960835509138381,74721.96894180692
HMGB1,0.04960835509138381,74522.11439038735
P4HA1,0.1122715404699739,74493.11239457029
NR2F2,0.06788511749347259,74438.99000724504
SRF,0.2584856396866841,74429.35895998804
HNRNPUL2-BSCL2,0.057441253263707574,74193.27270241825
TPBG,0.05483028720626632,73857.8468278813
CDK4,0.06788511749347259,73208.58065971319
BLVRB,0.06005221932114883,73142.89219854277
SMIM14,0.07049608355091384,72899.20603392889
LAMP2,0.06266318537859007,72388.23043484207
ATP1A1-AS1,0.06527415143603134,72299.64192856065
GNB2,0.04177545691906005,71857.90079695988
LPCAT1,0.1409921671018277,71689.09683813377
PHPT1,0.04177545691906005,71315.56481620713
RPL30,0.044386422976501305,71283.87252744245
FDPS,0.1122715404699739,71027.64846281084
HEATR6,0.05483028720626632,70677.64088964222
GYS1,0.09399477806788512,70651.05291649012
KYNU,0.15926892950391644,70479.80004921195
PINK1,0.13315926892950392,70391.88293029684
CCN5,0.412532637075718,70333.62251718984
RUVBL2,0.057441253263707574,70330.3439913606
LRPAP1,0.06527415143603134,69995.84018427136
FAM83D,0.5718015665796344,69713.7591212941
COX8A,0.0391644908616188,69321.92813691853
REEP5,0.05221932114882506,69182.29383620629
TMED9,0.04699738903394256,69173.85676595628
MTATP6P1,0.07049608355091384,68967.6226402199
ASS1,0.13838120104438642,68849.7365658278
EIF2AK1,0.05483028720626632,68506.21102347135
NUP188,0.12532637075718014,68427.9340013397
PRMT5,0.07049608355091384,68310.3382226293
LSM4,0.0731070496083551,68062.61926373484
AEN,0.1409921671018277,67725.96747911912
EIF4A3,0.06005221932114883,67347.66216013012
NACA,0.04699738903394256,67288.05596489541
EEF1D,0.044386422976501305,67226.1446557216
COPA,0.0731070496083551,67216.73588232888
PSMB7,0.04699738903394256,67060.24197230466
HSPA1B,0.13838120104438642,66777.79430782054
AMOTL2,0.10704960835509138,66724.09635968451
TBC1D9B,0.057441253263707574,66675.18129126627
EIF4EBP1,0.06266318537859007,66602.21716129206
FOSL2,0.14882506527415143,66569.66913181958
GREB1,0.21671018276762402,66368.87548015815
NFE2L2,0.07049608355091384,66193.16312386372
BSCL2,0.1122715404699739,66118.98559184177
PRMT6,0.12532637075718014,65942.24943611334
RPS27,0.044386422976501305,65871.07779585248
PRMT2,0.05221932114882506,65856.76484901509
PTPRK,0.07049608355091384,65795.845037114
NDUFA13,0.04699738903394256,65649.12540839061
SND1,0.06005221932114883,65596.10402854296
TNFRSF21,0.2741514360313316,65550.31755362051
NUMA1,0.07049608355091384,65499.753803671694
SEC31A,0.06005221932114883,64952.51624677046
XRCC5,0.05221932114882506,64893.288668954134
PIEZO1,0.13838120104438642,64795.70373053737
PYGB,0.1174934725848564,64780.51266523582
JAK1,0.06788511749347259,64469.56451546759
CAV1,0.47780678851174935,64466.463302940596
NEDD8,0.04960835509138381,64292.87964950172
MKNK2,0.10443864229765012,64196.81374653127
PSMC4,0.05483028720626632,64139.40575232727
IST1,0.057441253263707574,64092.01954807043
